name,set,series,release_date,rarity,supertype,subtypes,types,hp,artist,market_price_usd
Scatterbug,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Grass,30,sowsow,0.17
Pineco,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Grass,60,Shigenori Negishi,0.12
Cacturne,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Grass,130,DOM,0.21
Gogoat,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Stage 1,Grass,130,Gemi,0.14
Sprigatito,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Grass,70,Saya Tsuruta,0.27
Meowscarada,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Stage 2,Grass,160,Ryota Murayama,0.29
Tarountula,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Grass,40,Tika Matsuno,0.17
Tarountula,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Grass,60,Kouki Saitou,0.1
Smoliv,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Grass,50,yuu,0.23
Smoliv,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Grass,60,Shibuzoh.,0.21
Spidops ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Double Rare,Pokémon,"Stage 1, ex",Grass,260,takuyoa,0.61
Arboliva,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Stage 2,Grass,150,Kouki Saitou,0.21
Toedscool,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Grass,50,Shin Nagasawa,0.08
Heracross,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Basic,Grass,120,Taira Akitsu,0.11
Breloom,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Grass,110,Ryuta Fuse,0.14
Tropius,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Grass,100,aoki,0.11
Vivillon,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 2,Grass,120,Atsuko Nishida,0.21
Skiddo,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Grass,60,Tika Matsuno,0.09
Floragato,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Grass,90,Kouki Saitou,0.16
Toedscruel,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Grass,120,nagimiso,0.09
Shroomish,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Grass,60,kurumitsu,0.13
Cacnea,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Grass,60,Tika Matsuno,0.12
