set,series,rarity,subtypes,types,hp,artist,market_price_usd,log_market_price,release_year
Scarlet & Violet,Scarlet & Violet,Common,Basic,Grass,30,sowsow,0.17,0.15700374880966475,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Grass,60,Shigenori Negishi,0.12,0.11332868530700317,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Grass,130,DOM,0.21,0.1906203596086497,2023
Scarlet & Violet,Scarlet & Violet,Common,Stage 1,Grass,130,Gemi,0.14,0.1310282624064041,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Grass,70,Saya Tsuruta,0.27,0.23901690047049992,2023
Scarlet & Violet,Scarlet & Violet,Rare,Stage 2,Grass,160,Ryota Murayama,0.29,0.2546422183735807,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Grass,40,Tika Matsuno,0.17,0.15700374880966475,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Grass,60,Kouki Saitou,0.1,0.09531017980432487,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Grass,50,yuu,0.23,0.20701416938432615,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Grass,60,Shibuzoh.,0.21,0.1906203596086497,2023
Scarlet & Violet,Scarlet & Violet,Double Rare,"Stage 1, ex",Grass,260,takuyoa,0.61,0.4762341789963716,2023
Scarlet & Violet,Scarlet & Violet,Rare,Stage 2,Grass,150,Kouki Saitou,0.21,0.1906203596086497,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Grass,50,Shin Nagasawa,0.08,0.07696104113612832,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Basic,Grass,120,Taira Akitsu,0.11,0.10436001532424277,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Grass,110,Ryuta Fuse,0.14,0.1310282624064041,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Grass,100,aoki,0.11,0.10436001532424277,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 2,Grass,120,Atsuko Nishida,0.21,0.1906203596086497,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Grass,60,Tika Matsuno,0.09,0.08617769624105233,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Grass,90,Kouki Saitou,0.16,0.14842000511827327,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Grass,120,nagimiso,0.09,0.08617769624105233,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Grass,60,kurumitsu,0.13,0.12221763272424921,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Grass,60,Tika Matsuno,0.12,0.11332868530700317,2023
Scarlet & Violet,Scarlet & Violet,Common,Stage 1,Grass,70,Kagemaru Himeno,0.14,0.1310282624064041,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Grass,40,Pani Kobayashi,0.17,0.15700374880966475,2023
Scarlet & Violet,Scarlet & Violet,Common,Stage 1,Grass,90,Mina Nakai,0.16,0.14842000511827327,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Grass,60,Tika Matsuno,0.1,0.09531017980432487,2023
Scarlet & Violet,Scarlet & Violet,Double Rare,"Stage 1, Tera, ex",Water,300,5ban Graphics,1.79,1.0260415958332743,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Grass,110,KEIICHIRO ITO,0.2,0.18232155679395462,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Water,100,kurumitsu,0.11,0.10436001532424277,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Water,60,Tika Matsuno,0.12,0.11332868530700317,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Fire,100,kantaro,0.11,0.10436001532424277,2023
